,summary
377,"Myotubes were divided into the following groups ( n = 4 / group ) : 2 days quiescent control ( no stretch ( 2d), 2 days cyclic stretch (2dhy ), 5 days cycled stretch ( 5dhy), and 2 - days of stretch. Calpain activity is expressed as fluorogenic values ( rfu / mg / min) for talin."
378,Calpain activity that was measured by fluorescence revealed a significant increase in activity in the 2dhy and 5dhy groups. Three days of cessation of daily bouts of cyclic stretch (3dat) resulted in a significantly lower level of talin than 2 and 5 days of dailycyclic stretch. The akt activation pathway has been involved in regulating muscle hypertrophy and atrophy.
379,"Myotubes were divided into the following groups ( n = 4 / group ) : 2 days quiescent control ( no stretch), 2 days cyclic stretch ( 2dhy), 5 days cycled stretch ( 5dhy ), and 2 - days of cyclicStretch followed by a 3 - day cessation of stretch ( 3dat). ( a ) = statistically significant difference from no - stretch (2d ) ; ( b ) = significantly different than 2Dhy. ( p ≤ 0. 05 ) values are presented as box plots ±sd."
380,"Protein abundance quantification was determined using western immunoblotting with ponceau stain as a protein loading control and quantified using imagej. myotubes were divided into the following groups ( n = 4 / group ) : 2 days quiescent control ( no stretch), 2 days cyclic stretch ( 2dhy), 5 days cycler stretch ( 5dhy ), and 2 - days of cyclicStretch followed by a 3 - day cessation of stretch ( 3dat ). ( a ) = statistically significant difference from no - stretch (2d ) ; ( b ) = significantly different than 2d Hy ; ( c ) =ificantly different than 5d Hy. ( p ≤"
381,"We measured myotube levels of the inflammatory cytokines interleukin - 1ß ( il -1ß ) and interleokin - 6 ( il-6 ) as well as the p65 subunit of the pro - inflammatory, pro - oxidant transcription factor nuclear factor kappa - b ( nf - κb) protein abundance. There was a 2 – 3 fold increase in il-1ß, il - 6, and p65 compared with 2dhy, 5dhy and the no stretch controls, similar to the pattern observed in total foxo3a levels. These data suggest a significant role of key pro-inflammatory cytokines and nf-"
382,"We examined the efficacy of the application and withdrawal of uniaxial cyclic stretch on myotubes as a prospective bioreactor for use in spaceflight research. withdrawal fromcyclic stretch elicits an ‘ off - transient ’ period that our data suggest mimics unloading - microgravity. The findings have a number of parallels with the data published by soltow, et al. ( 2013 ) 35 using the flexcell® as a model for overloading and unloading."
383,"Uniaxial stretch and cessation of stretch can be validly used to test myotube responses to both increased and decreased mechanical loading. in contrast, rotating wall vessels bioreactors are commonly used in tissue engineering and cell culture research to simulate microgravity conditions. increased tensile stress and strain in skeletal muscle fibers promote muscle growth by elevating protein synthesis."
384," withdrawal of daily cyclic stretching led to increased levels of unphosphorylated ( i. e., active ) foxo3a, consistent with protein degradation ’ s role in muscle atrophy. spaceflight lowered the akt activity pathway by downregulating the eif4 / p70s6k signaling."
385,"Akt activation is a well - known causal regulator of protein synthesis signaling in skeletal muscle. downregulation of the akt activation pathway, which is associated with dephosphorylation of akt and 4e - bp1, has been consistently reported in muscle atrophy. simultaneous activation of foxo3a and suppression of an akt - mtor pathways with skeletal muscle wasting has been a frequent observation."
386,Inflammatory cytokines il - 1ß and il - 6 and the p65 subunit of nf - kappab were markedly higher in the muscle myotubes after daily cyclic stretching had been discontinued for three days. The data support the hypothesis that much of inflammatory medication in unloaded muscle fibers could be localized within the muscle fibers. Upregulation of inflammatory mediators during the loading period must be a result of mechanosensing within the myot tubes.
387,"This study has some limitations, while the unloaded / microgravity model was not free floating. skeletal muscles are complex tissues that generate tensile forces to produce body movement and stability. muscles adapt to changes in tensile loading by adjusting their mass and cross - sectional area. anabolism, elevation of catabolic signaling, and thus atrophy of the myotubes."
388,"The strexcell uniaxial stretch system is a viable alternative bioreactor to study spaceflight and re - ( over ) loading in skeletal muscle cells. Inactivity turns off signaling for muscle hypertrophy, while elevating pro - inflammatory, pro - catabolic pathways that drive protein degradation."
389,"Spending time in a microgravity environment is known to cause significant skeletal muscle atrophy and weakness via muscle unloading. This can be partly attributed to ca 2 + dysregulation. Treatment with the antioxidant, manganese ( iii ) meso - tetrakis ( n - n - butoxyethylpyridinium - 2 - yl ) porphyrin, mntnbuoe -2 - pyp 5 + ( buoe ), could attenuate muscle atropha and serca dysfunction."
390,"Soleus muscles were obtained from the nasa biological institutional scientific collection. muscles came from male c57bl / 6 j mice from the rr - 18 mission which had two control groups, ground control ( gc ) and vivarium ( viv ) control, as well as a flight group which had mice housed on the international space station for 35 days. all mice were treated weekly with either buoe ( 1 mg / kg ) or saline via subcutaneous injection beginning one week prior to launch and continuing for the duration of spaceflight. upon live return to earth, muscles were dissected and stored in rnalater at −80 °c. muscles were thawed,"
391,All data are presented as means ± standard error of the mean ( sem ). no statistical differences were detected between the gc and viv groups and so they were combined within their respective treatment groups to increase statistical power. a two - way anova with tukey ’ s post hoc test was used to compare the main effects of gc / viv vs flight and saline vs buoe as well as any interaction that may exist. outliers were detected and removed prior to analysis if they were ±2 standard deviations from the mean of their respective group.
392,"Multiomics revealed significant changes in 44 microbiome species. relative reductions in bile acid and butyrate metabolising bacteria like extibacter muris and dysosmobacter welbionis. host gene expression described corresponding changes to bile Acid and energy metabolism, and immune suppression. Changes imply that interactions at the host - gut microbiome interface contribute to spaceflight pathology."
393,"International space exploration coordination group, representing 27 of earth ’ s space agencies, has outlined a clear target for a crewed mission to mars in the global exploration roadmap. These guiding objectives have driven development of the imminent commercial low earth orbit destinations and gateway, and the artemis mission goal of a permanent lunar surface habitat by the early 2030s."
394,"The immune system can be compromised by spaceflight, both in space and after return to earth. Microgravity, isolation, and stress associated with spaceflight can lead to shifts in the gut microbiome. Gut microbiota play an essential role in mediating healthy human metabolic function on earth. There has been increasing research into gut microbiome dynamics associated withspaceflight."
395,16 s rrna amplicon sequencing and reference - based whole metagenome sequencing ( wms) identified 14 asvs as different in relative abundance ( p < 0. 1 ) between spaceflight ( iss ) and ground controls after 9 weeks of spaceflight. Wms identified significant enrichment of dorea sp. and the species lactobacillus murinus. intestinal and hepatic transcriptomics were then used to assess the associated gene expression response of mice to space flight.
396,"Female 32 weeks - old c57bl / 6ntac mice ( taconic biosciences sources ) from four treatment groups of the rodent research 6 mission were compared. flight live animal return ( flt _ lar), ground control for live animal returned ( gc _ lar ), flight iss ( flT _ iss ) and ground control. for iss (gc _ iss), 40 mice were kept in identical rodent habitats at kennedy space centre. not all mice were available to nasa genelab for dna and rna extractions ( replicate numbers provided below)"
397,"The study followed recommendations in the guide for the care and use of laboratory animals. anaesthesia for the lar mice groups was induced using isoflurane. for the iss mice groups, anaesthesia was administered via intraperitoneal injection of ketamine, xylazine, and acepromazine during the dissection period. blood samples were obtained via closed - chest cardiac puncture, though these were not used in this study. faecal samples were extruded from the colon during dissection, snap frozen in liquid nitrogen, and stored at −80 °c."
398,"DNA was homogenised using tissue homogenising bead mix on bullet blender gold 24 ( next advance ) for 4 min at 4 °c. homogenates were centrifuged for 3 min at 10 °c and 21, 000 g to deflate foam. supernatant from each sample was then used to isolate and purify dna following the manufacturer ’ s protocol. concentrations for all dna samples were measured using qubit 3. 0 fluorometer ( thermo fisher scientific, waltham, ma ) with a qubit dna hs kit. dna quality and size were assessed using an agilent 4200 tapestation with a gdna screent"
399," library fragment sizes ( ~ 550 bp ) were assessed using an agilent 4200 tapestation with d1000 dna screentapes. pooled library concentration was measured with a kapa library quantification kit ( roche, wilmington, ma). library quality control was performed on an illumina iseq100 sequencer ( illumina, san diego, ca). whole metagenome shotgun sequencing was performed. on an Illumina novaseq6000 instrument with a 500 - cycle sp flow cell."
400," library fragment sizes ( ~ 300 bp ) were assessed using an agilent 4200 tapestation with a d1000 dna screentape. pooled library concentration was measured by universal qpcr master mix ( kapa biosystems, wilmington, ma) whole metagenome sequencing was performed on an illumina novaseq6000 instrument with a 500 - cycle sp flow cell. 16s rrna gene barcoding amplicon sequence reads were processed and annotated using anchor 28."
401,"Esvs were manually assessed for quality. when the highest identity / coverage was shared amongst multiple different references, all annotations were retained and reported. differential abundance analysis was performed using deseq2 156, 157, which performs well with sparse data and uneven library sizes 158. a count threshold parameter of 96. annotation at family, genus or species - level used blastn criteria of > 99 % identity and coverage."
402," blast v2. 3. 0 169 was used to annotate contigs sequence. to assign contig taxonomy, a first alignment iteration was run using full contig lengths against the ncbi nr / nt database. to further resolve nucleotide taxonomic annotation, a second alignment was run against all databases which included selected genomes. to validate esv sequences using the metagenomics de novo assembly, esvs were aligned to wms contigs using blastn."
403,"Metagenome assembled genomes ( mags) were assembled using metagenome co - assembly from 3. 4. 2, genome binning was performed using metabat2 171. alpha diversity was measured using diversity indices using phyloseq r library 175 and was compared between groups with t - tests ( parametric)"
404, differential abundance ( or expression ) analysis was performed using deseq2 159 based on pre- processed raw abundance of esvs / contigs / orfs / transcripts. false discovery rate ( fdr ; benjamini - hochberg procedure ) < 0. 1 was applied for statistical significance 156. contigs with an absolute zero across all replicated samples belonging to a same factor were assumed to be structural zeros.
405,"Four treatment groups from a single cohort of 32 weeks - old female mice included two spaceflight groups flown to the iss on spacex - 13 : flt _ lar, returned to earth after 29 days of spaceflight as part of the live animal return mission, and flt_ iss, sampled on the iss by the crew after 56 days. carcass mass did not differ significantly ( t - test, p > 0. 05 ) between ground control live animal. return ( gc _ lar ; n = 7 ) and flT _ lar mice, which weighed 28. 9 g −1 ( ±1. 6 ) and 30. 1 g − 1 ( ± 1. 4 ), respectively"
406,Characterisation of microbiota used 16 s rrna amplicon sequencing as well as wms sequencing from faecal samples collected from gc _ lar and flt _ lar. A total of 133 exact sequence variants ( esvs ) were inferred across all samples. parabacteroides goldsteinii had the highest relative abundance throughout the samples and accounted for 53. 7 % of sequence counts.
407,"Wms of faecal dna generated 277, 294, 078 reads after quality control. co - assembly across all 32 mice generated 219, 259 contigs. Back - mapping captured 85. 1 % of raw counts after filtering out reads using the mouse genome ( 154, 692, 460 counts ). this included 22, 318 contigs which could be provisionally annotated from 175 species."
408,"P. goldsteinii is a ubiquitous commensal gut microbiome inhabitant in mice, and the species includes strains that play a role in reducing intestinal inflammation and maintaining intestinal epithelial integrity. microbial alpha diversity indices did not significantly differ between mice groups using 16 s rrna amplicon sequencing or wms data. differential abundance analysis of amplicon data identified 45 esvs that were significantly different in relative abundance between spaceflight and ground control mice."
409,"45 esvs that were significantly different in relative abundance between spaceflight and ground control mice were identified. The common enrichment of e. muris and d. welbionis in mice after 29 and 56 days of spaceflight, compared to separate matched control groups suggests spaceflight had some common influence of gut microbiota."
410," species enriched in flt _ iss mice included d. welbionis, eisenbergiella massiliensis, enterocloster clostridioformis and e. muris. depleted species included intestinimonas butyriciproducens and h. xylanolytica."
411,"14 firmicutes, including b. pseudococcoides, c. difficile, d. welbionis, clostridioformis, eisenbergiella massiliensis, e. muris, f. plautii, g. tenuis, h. hathewayi and r. lactatiformans were significantly enriched in after 56 days of spaceflight. 35 putative species ( 99. 0 % ani ; supplementary note, data 3 ) identified as significantly differentially abundant between gc _ lar and flt _ lar."
412," enrichment of d. welbionis in both groups of spaceflight mice compared to their respective ground controls is noteworthy given the high lipid accumulation, liver and mitochondrial dysfunction phenotype repeatedly observed in rodent research missions and astronauts 17, 18, 45. Whether the relative increase of this species might be counteracting or contributing towards spaceflight pathology is unclear and merits further study. Other butyrate producers, such as intestinimonas butyriciproducens and acutalibacter muris were depleted in mice during spaceflight."
413," e. clostridioformis is significantly higher in relative abundance after both 29 and 56 days of spaceflight ( fig. 3 ), is reported as increasing in the presence of e. muris 62 and harbours 7α / β hydroxysteroid dehydrogenases ( hsdh ) 59, 75. This agrees with findings from the rr - 5 mission 39, which found significantly increased levels of serum choline in mice after spaceflight, suggesting a broad impact on lipid metabolism."
414,"Metagenome functional prediction identified 4, 583, 759 genes in the co - assembly generated from all 32 mice. A high proportion ( 91. 4 % ) of genes, including differentially abundant genes, remain unannotated. kegg annotated genes included the pathogenicity locus ( including tcdab ) from c. difficile."
415,"Changes in metagenomic gene inventories, and specific bacterial species with well - characterised functions, due to spaceflight suggest gut microbiome changes which should influence lipid and bile acid homoeostasis, and the immune system of the murine host. Changes in fatty acid pathways included fatty acid biosynthesis ( 00061), fatty acid metabolism ( 01212 ), fatty acid degradation ( 00071 ) and butanoate metabolism ( 00650) Bile acid metabolism was reflected in bile secretion ( 04976 ) and cholesterol metabolism (04979) antimicrobial resistance genes were represented in the pathways for beta - lactam resistance ( 01501 ) and biosynthesis of various antibiotics ( 00998"
416,"Diverse carbohydrate metabolism and ecm interacting pathways were represented by galactose metabolism ( 00052), mannose type o - glycan biosynthesis ( 00515), glycosaminoglycan degradation ( 00531), other glycan degradation. over - represented, including tight junction interacting zona occludens toxin ( k10954 ), as well as the pathways pathogenic escherichia coli infection ( 05130 ) and bacterial invasion of epithelial cells ( 05100 ). spaceflight alters host intestinal gene expression."
417,"Host responses to spaceflight at the host - gut microbiome interface to be investigated. host intestinal gene expression revealed extensive significant ( fdr < 0. 1 ) changes after 29 days and 56 days of spaceflight when compared to ground controls. 4613 differentially expressed ( de ) genes between gc _ lar and flt _ lar, and 4, 476 de genes between Gc _ iss and Flt _ iss. of these, 43 % and 44 % were increased due to flight in lar and iss mice."
418," spaceflight led to common upregulation of pathways associated to intestinal extracellular matrix ( ecm ) remodelling, including ecm - receptor interactions, focal adhesion, tight junction, gap junction pathways, and cortisol production represented through the cushing syndrome pathway. the bile secretion pathway was significantly upregulated after 29 days of spaceflight, but downregulated after 56 days."
419,"After 29 days of spaceflight, abcc2 was significantly downregulated, suggesting reduced ba export to the colon. Asbt, ibabp, ostα, ostβ and ugt1a1 were all significantly upregulated as well as rxrα ( not fxr ), fgf15 / 19 and fgfr4. These changes suggest spaceflight led to an alteration in bile acid metabolism in the intestine."
420," gene expression analysis of multiple tissues in mice after spaceflight. enrichment within the circadian rhythm pathway of the kidney, liver, eye, adrenal gland and various muscle tissues. major clock genes, the circadian locomotor output cycles kaput ( clock ) and brain and muscle arnt - like protein - 1 ( bmal1 ; arntl ) transcription factors were significantly upregulated after 56 days."
421,"These spaceflight - associated changes in core clock genes, such as upregulation of bmal1, arntl and npas2, largely agree with those found in murine muscle tissue after longer - term spaceflight. These clock genes regulate nutrient absorption, gut motility, intestinal barrier function and immunity."
422," tenascins ( tnc ) in mice after 29 days of spaceflight, which became more pronounced after 56 days. this coincided with upregulation of integrin ( itga5 and itga7 ) and matrix glycoprotein ( sdc4 and gp5 ) receptors. extensive changes to mucosa were indicated by widespread downregulation of cell adhesion molecules during spaceflight."
423,"Spaceflight alters gene expression in the liver hepatic gene differential expression analysis comparing mice after 29 days and 56 days in space to their relative ground controls identified 4029 de genes and 4068 de genes, respectively ( fdr < 0. 1 ; fig. 6a, h ; supplementary figs. 15, 16 and data 5 ). of these, 48 % and 49 % were increased due to spaceflight, respectively. This provides an insight into the role the host - gut - microbiome interface might play in the current broad consensus of immune dysregulation in spaceflight environments."
424,"Gsea of liver tissue responses also revealed highly consistent responses at the pathway level to 29 and 56 days of spaceflight. these comprised downregulation of immune response pathways, similar to those seen in the intestine, as well as steroid metabolism, type i diabetes mellitus, inflammatory bowel disease and nafld. spaceflight also led to common upregulation of insulin resistance, hippo signalling, inositol phosphate metabolism, cushing syndrome and hepatocellular cancer pathways. certain pathways were different over time. after 29 days, long - term depression and maturity onset diabetes of the young pathways were upregulated. after 56 days, bile secretion and circadian rhythm were downregulated, while glycoly"
425,"Fibroblast growth factor 1 ( fgf1 ) was upregulated in the liver of mice after 29 days of spaceflight. cyp51, cyp8b1 and acox2 genes were significantly upregulated and cyp7a1 and fxr ( nr1h4 ) were significantly downregulated."
426,Hepatic accumulation of cholesterol is characteristic of glucose and lipid metabolic dysruption 97. Bile acid conjugating acyl - coenzyme a : amino acid n - acyltransferase 1 and 2 ( acnat1 and acnat2 ; baatp1 / 2 ) genes were significantly upregulated. The other major mechanism for detoxification during cholesterol and bile acid accumulation is sulfonation of bile acids.
427," pathways related to energy homoeostasis consistently altered in gene expression due to spaceflight after 29 and 56 days. These included enrichment of fatty acid degradation, insulin signalling and insulin resistance. liver glycogen phosphorylase ( pygl ) and glycogen synthase kinase 3 beta were significantly upregulated after 56 days of spaceflight."
428,"Claudins, which were largely downregulated in the intestine where they are commonly expressed within tight junctions, were upregulated in liver tissue after 56 days of spaceflight. Upregulation of gsk3β is also known to be activated by microbial - associated molecular patterns and promotes acute liver failure through inhibition of the pparα pathway. other pathways enriched in the liver after spaceflight included cushing syndrome, hypercortisolism consistent with elevation of cholesterol levels, and hepatocellular cancer."
429,"A challenge for biological experimentation conducted in space is low replication, compared to model studies using mice on earth. It is important that the imminent commercial low earth orbit destinations ( clds ), gateway, and lunar base camp increase the capacity of their experimental habitats and growth facilities to support replicate numbers."
430,"Human exploration of the solar system will expose crew members to galactic cosmic radiation ( gcr ), with a potential for adverse health effects. gcr particles ( protons and ions ) move at nearly the speed of light and easily penetrate space station walls, as well as the human body. previously, we have shown reactivation of latent herpesviruses, including herpes simplex virus, varicella zoster virus, epstein – barr virus, and cytomegalovirus ( cmv )"
431,"Atgtlp is a membrane - anchored protein, which exhibits a type ii - like topology, with a single transmembrane helix and a globular domain. colocalization data we collected suggest that atgtlp should localize mainly to golgi apparatus, especially to certain zones of trans - golgi."
432," membrane - anchored proteins play an important role in this transport system. macromolecules are packed as cargo into vesicles, which then carry the cargo to another organelle, plasma membrane or extracellular space. snare ( soluble n - ethylmaleimide - sensitive factor attachment receptor ) proteins, a family of membrane- anchored proteins, mediate fusion between the vesicle carrying the cargo and the organelle the cargo is addressed to."
433,"Members of snare family in plants were reported to be implicit in a variety of biological processes, ranging from growth to biotic / abiotic stress resistance. syp4 group comprises of three members ( syp41, syp42 and syp43 ) with partially overlapping functions, all localizing to the tgn ( trans - golgi network ). syp 42− / −syp43− / + double mutant exhibits phenotype of shorter roots, semi - dwarfism, and early senescence."
434,"At present, 567 arabidopsis proteins recorded in the carbohydrate active enzyme database ( cazy ) with ‘ glycosyltransferase ’ annotation have been further classified into 45 of 117 gt families known today. The full scope of their biological functions is, at present, not fully understood."
435,"Atgtlp is a putative glycosyltransferase. It is predicted to be a membrane - anchored protein comprising of 568 residues. The short n - terminal tail of the protein was predicted to localize on the cytosolic side of an organelle membrane, while residues 45 – 568 reside inside the lumen."
436,"Analysis of atgtlp ’ s amino acid sequence using phyre 2 server ( kelley et al. 2015 ; http : / / www. sbg. ic. ac. uk / phyre2 /html / page. cgi? id = index, accessed nov 1, 2023 ) suggests a distant homology between the c - terminal domain of atltlp and human protein o - fucosyltransferase 2 ( pofut2 ; pdb id : 4ap6, a chain)"
437,Atgtlp is localized mainly on the trans - golgi. fluorescence of atgtlp concentrated in dot - or ring - like structures scattered within the cell. None of the 38 proteins that have been characterized as members of arabidopsis fut family in literature were present among the results.
438,"A significant population of atgtlp localizes to trans - golgi. High pccs were obtained when colocalization with gos12, a golgi marker, was analyzed. The two peaks representing gFP and rFP in side - view line fluorescence profile of a single disk - like structure overlap almost entirely."
439,"Atgtlp partially colocalizes with tgn markers, syp61 ( figure 2c ; uemura et al. 2004 ) and vhaa1. In other rois, pcc was close to zero ( figure 3 ; pcc = 0 – 0. 65 ; median = 0. 41) taking into consideration the possibility that atgtlp is transported within the cell as a cargo, two transport pathway markers — vamp721 and vamp727 — were also included in the study."
440,"Atgtlp is expressed in most parts of a plant, including roots and young leaves, with the exception of dry seeds. in both mutant lines used in this study, t - dna insertion was confirmed to be present inside atgtlp ’ s exon. growth of mutant plants was comparable to wild type plants, and we could not observe any distinctive phenotype differences."
441,No difference between col - 0 plants and mutants has been observed. Atgtlp - 1 and atgtlp- 2 8 - day - old - seedlings were compared. No difference in weight and length of primary roots was found between the two plants. The plants were grown from 8 days of age.
442,"Atgtlp colocalized well with the trans - golgi marker, st, as well as with the golgi markers, gos12. The ring - like appearance of atgtlp - mgFP fluorescence suggest that it localizes mainly to the rim of golgi cisternae. in eukaryotic cells, glycosylation processes are commonly thought to occur in er and golgi."
443,Atgtlp — a novel fucosyltransferase? analysis of atgtlp amino acid sequence has shown that its c - terminal domain bears resemblance to the conserved domain found in metazoan pofuts. We consider that this protein may potentially belong to an uncharacterized family of arabidopsis proteins with either gt or fut activity.
444,"Atgtlp may potentially belong to a yet uncharacterized family of arabidopsis proteins with either gt or fut activity. phylogenetic analysis of atoft1 has shown that it exhibits a relatively high sequence identity to members of pofut1 family. in our subcellular localization study, we found that atgtlp localizes mainly to trans - golgi. as in silico analysis suggests that atGTlp may also be potentially related to metazoan pofuts."
445,"Fut13 in arabidopsis was shown to occur mainly in trans - golgi cisternae. Alternative possibility is that it may be a new type of plant fucosyltransferase. at4g12700, which shows a very high sequence similarity to atgtlp is one potential candidate."
446,"Research is needed to confirm the presence of glycosyltransferase / fucosyltranferase activity, as well as the biological role of atgtlp. ##g12700, which shows a very high sequence similarity to atgtLP is one potential candidate."
447,"Open science principles ensure that data are findable, accessible, interoperable, reusable, reproducible and maximally open. Features include the biological data management environment for improved data submission, a new user interface, controlled data access and comprehensive public visualization tools for environmental telemetry, radiation dosimetry data."
448,"Clinostat simulated microgravity effect on mouse models, focusing on central nervous system. Results showed decreased activity, altered gait, enhanced fear memory, bone loss, immune / endocrine changes in brain transcriptome, and altered metabolic pathways in serum and gut microbiota in clinostat - treated mice."
449,"Microgravity represents unusual stress experiences that can cause physiological and morphological changes. studies have shown that astronauts experience changes such as ataxia, posture disorders, perceptual illusions, fatigue, and cognitive impairment. our previous studies suggest that the central nervous system probably changed in mice trained with 3d clinostat."
450,The changes in the central nervous system and cognitive function. the changes in central nervous System and Cognitive function. The changes in Central Nervous System and Cognition. The Changes in The Central Nerve System and cognitive Function. The Change in The Cognitive Function. the Changes in the Central Nerves System.
451,"10 - week - old male c57bl / 6j mice were purchased from beijing hfk bioscience co., ltd and kept in the experimental room at temperature 22 ± 2 °c, humidity 40 ± 5 %, under a 12 - h light / dark cycle. mice were randomly divided into three groups : ( 1 ) mc group with mice housed in ordinary cage ( mc, n = 6 ) ; ( 2 ) sb group with dogs housed in survival box ( sb, n + 6) ; ( 3 ) cs group with animals receiving 3d clinostat treatment. after 8 weeks, the mice were euthanized dissected for sampling at the end of the"
452,"Fig. 1 (a) flowchart of the experimental procedures and the behavioral experiments are conducted in the order of arrangement. Each mouse was tested individually and then put back into the 3d clinostat as soon as possible after the test to minimize the time spent disengaging from the rotation. each animal was tested three times repeatedly, and the mean value was calculated. the data are presented as the mean ± sd, * p < 0. 05, * * p = 0. 01, ** * p > 0. 001."
453,"The open field test was an empty square environment, with a size of 50 cm. The novel object recognition test was used to assess short - and long - term recognition memory. The y - maze test assessed the sequence of entry of the mice in the maze. The open field apparatus was cleaned after each session using 70 % ethanol."
454,"During the elevated plus maze ( epm ) test, the maze was composed of four arms ( 30 cm × 5 cm ). two opposite arms were closed, enclosed by lateral walls ( depth 5 cm ), and the remaining two arms were open and lacked walls. the sequence of entry of the mice in the arms was recorded to calculate the percentage of change. higher spontaneous alternations indicated better learning and memory ability."
455,"The gait of naturally moving mice was analyzed using catwalk xt ( noldus information technology, netherlands ), as previously described 12. mice were subjected to a training session of four trials per day for 3 days, the rotarod gradually accelerated from 5 to 40 rpm within 120 s until the mouse fell off. The average latency from three trials was determined."
456,"The water maze was divided into four quadrants and contained a platform that remained submerged under 1 – 1. 5 cm of water. mice were placed in the water from the opposite quadrant of the platform. successful navigation to the platform was considered when the mouse found it within 1 min. if the mouse failed to find the platform within this time limit, a guidance rod was used to guide the mouse to stay on the platform for 10 s and the latency was recorded as 60 s."
457,"The animals were placed in a fear - conditioning box and subjected to auditory stimulation and electric current stimulation. After 180 s of adaptation in the box, only auditory stimulation ( 5 khz, 70 db ) was presented. freezing behavior was then recorded over a 420 s period. brain transcriptomics brain samples were bisected along the plane separating the hemispheres. One hemisphere was selected for the generation of mrna sequencing data."
458,"The brain rna - seq data of hindlimb unloading mice and real spaceflight microgravity mice brain transcriptome data have been sourced from published data. The data from spaceflight mice, that were housed in the rodent habitat for 39 – 42 days, euthanized in space ( mice were anesthetized by ketamine / xylazine / acepromazine and subjected to cardiac puncture followed by cervical dislocation ), and had their whole carcasses stored at − 80 °c during the rodent research - 3 mission are both accessible within the nasa open science data repository."
459,"Using the oecloud tools at https : / / cloud. oebiotech. com / task / to compare the differences between three models, we conducted a distance comparison of transcriptome changes. select shared genes from transcriptome data for analysis, and obtain log 2 foldchang values for each gene. We then calculate the brain transcriptome distance between each model."
460,The similarity of the three models can be compared by the magnitude of the distance value s. by utilizing the multiple expression changes of each gene in different models relative to their respective control groups. A heatmap can be drawn to visually display and compare the differences in the brain transcriptome of each model.
461," genomic dna was extracted from fecal samples using the dneasy powersoil kit ( qiagen, germany ) and its concentration and purity were assessed by nanodrop 2000 ( agilent, usa ). extracted dna used as template for pcr amplification of bacterial 16s rrna with universal primers for v3 - v4 variable regions. sequencing was performed by illuminaa novaseq 6000 with 250 bp paired - end reads. micro - ct imaging of bone the femoral bone was dissected of soft tissues, fixed in formalin and the distal metaphysis scanned with a siemens inveon scanner."
462,Two - way anova followed by post - hoc test evaluated the significance of differences between groups. prism 10. 0 software was used for statistical analysis. a difference was considered significant if the p value < 0. 05. The results of the study were published in the Journal of Personality and Social Psychology.
463,"3d clinostat treatment significantly reduced mice activity and exploratory desire, indicated by the significant reduction in movement distance and exercise time. In terms of learning and memory, there were no statistically significant differences in the recognition index in novel object recognition test. regarding motor ability, a series of tests including grip strength test, rotarod test, and gait analysis were conducted."
464,"In the fear conditioning test, the 3d clinostat seemed to induce a trend towards increased sensitivity to fear behavior and enhanced fear memory. during the fear memory learning phase, the cs group mice exhibited a notable increase in freezing rates ( fig. 2 f ), coupled with a tendency of increased freezing rates in the contextual memory phase. especially during the extinction phase, cs mice still demonstrated a significant increase. in freezing rate, indicating enhancedFear memory and weakened extinction. Gait analysis revealed significant changes in certain gait parameters in the cs. group compared to the sb group, indicating that prolonged exposure to the. 3d Clinostat had a notable impact on the vestibular balance system."
465,"Table 1 shows the gait parameters with differences between the cs and sb groups. The data are presented as the mean ± sd, * p < 0. 05, * * p = 0. 01, and n = 6 for each group. mc : ordinary cage control group ; sb : survival box control group; cs : 3d clinostat model group."
466," lf _ printlength _ ( cm ) _ mean 0. 888 ± 0. 0410. 899 ± 078 0. 762 ± 086 0. 016 0.756 lf_ printwidth _ (cm) _ mean 1.0 0.1 0. 1 0. 2 0.2 0.3 0.4 0.5 0. 464 lh _ maxintensity _ mean 190. 195 ± 7. 764 191. 693 ± 10. 184 168. 907 ± 11. 337 0. 007 0. 502 lh_ maxcontactmaxintensity _mean 183. 908 ± 10, 444 183. 98"
467,"We used micro - ct to scan the femurs of mice and analyzed changes in parameters such as bone volume, tissue volume, and trabecular pattern factor. The results revealed that both sb and cs group of mice exhibited significant bone loss compared to the mc group. We also found that the effects of 3d clinostat on bone metabolism were not as pronounced as previously thought."
468,"3d clinostat may primarily affect immune and endocrine - related signaling pathways, such as those associated with human diseases like malaria, african trypanosomiasis, autoimmune thyroid disease, rheumatoid arthritis, and staphylococcus aureus infection. The results showed that there were 568, 320, and 426 significantly different genes between each group respectively."
469,"Brain transcriptome and serum metabolome of mice subjected to 3d clinostat. opls - da analysis revealed distinct differentiation among the three groups. notably, in comparison to the sb group, the cs group exhibited significant upregulation of serum metabolites. conversely, serum metabolites including poricoic acid a, l - lysine, oleic acid, ile - pro, and pentobarbital were significantly downregulated. These alterations primarily implicate pathways such as signaling pathway, leukocyte transendothelial migration, ppar signaling pathway and neutrophil extracellular trap formation."
470,"16s rrna sequencing was performed on mouse feces samples. fecal microbiota richness was observed to be higher in the mc group compared to the sb and cs groups. at the genus level, the bacteroides and turicibacter were significantly reduced in the cs group. functional analysis of the microbial community was conducted using the picrust2 software."
471,"Fig. 6 comparison of the 3d clinostat simulated microgravity effect model with the classical hindlimb unloading model and spaceflight mice. Eight differentially expressed genes ( ibsp, adam3, xlr3b, g530011o06rik, wdr62, cd22, gm4675, and nusap1 ) were shared between the cs and fl models. Only two genes ( serpinc1 and ccl19 ) overlapped between the hu and fl model."
